hostel_name,city,price_from,distance__km_from_city_centre,summary_score,rating_band,atmosphere,cleanliness,facilities,location_score,security,staff,valueformoney,lon,lat
GridsTokyoAsakusa-BashiHotel&Hostel,Tokyo,2200,8.3,9.0,Superb,7.9,9.6,9.0,8.7,9.5,9.5,8.9,139.780326,35.696562
GridsTokyoNihombashiEastHotel&Hostel,Tokyo,2400,8.3,8.3,Fabulous,6.7,9.3,8.7,9.3,9.3,7.3,7.3,139.783943,35.690286
GuestHouseBola-Bola,Kyoto,2700,6.1,9.4,Superb,9.3,9.9,9.0,8.8,9.4,9.9,9.4,135.7015683,35.0147747
GuestHouseComInnHiroshima,Hiroshima,2900,2.5,8.9,Fabulous,7.3,10.0,8.0,8.0,10.0,10.0,8.7,132.443757,34.405665
GuestHouseDenchi,Tokyo,3600,9.2,8.9,Fabulous,8.0,10.0,6.0,8.0,10.0,10.0,10.0,139.7895455,35.7128268
GuestHouseGa-Jyun,Kyoto,2000,1.4,9.6,Superb,9.6,9.7,9.4,9.4,9.4,9.9,9.9,135.7833531,35.009131
GuestHouseHachi,Kyoto,3200,3.2,10.0,Superb,10.0,10.0,10.0,10.0,10.0,10.0,10.0,135.7435285,34.9915805
GuestHouseHitsuji-An,Kyoto,2200,1.3,9.8,Superb,9.5,10.0,9.5,10.0,10.0,10.0,9.5,135.75435,35.009679
GuestHouseHokorobi,Fukuoka-City,2400,6.0,8.4,Fabulous,7.7,8.5,8.5,7.5,9.5,8.7,8.7,138.92645378,35.485684920000004
GuestHouseKaine,Fukuoka-City,2500,0.7,8.9,Fabulous,10.0,9.0,8.5,9.0,7.5,10.0,8.5,130.403731,33.596604
GuestHouseKyotoInn,Kyoto,1500,3.3,8.9,Fabulous,8.7,9.4,9.0,8.1,8.6,9.4,8.9,135.743165,34.990043
GuestHouseLaKongo,Osaka,2500,4.2,7.8,VeryGood,6.0,8.0,7.5,9.0,8.0,8.5,7.5,135.5078668,34.6687802
